Tubenumber,Genotype,Finalrootlengthmm,RootdwtgSection1,RootdwtgSection2,RootdwtgSection3,RootdwtgSection4,Canopyfwtg,Canopydwtg,TotalRootdwtg
1,M82,1690,1.874,1.285,.45,.024,257.1,20.222,3.633
2,Line B,1800,2.362,1.377,.374,.057,302.8,23.531,4.17
3,Line A,1480,1.803,1.864,.552,.056,265.75,20.47,4.275
4,Line B,1750,2.116,1.301,.438,.046,269.02,20.903,3.901
5,M82,1700,1.702,1.251,.557,.018,251.22,19.61,3.528
6,Line A,1530,2.251,1.75,.571,.044,314.82,23.262,4.616
7,Line B,1780,2.4,1.581,.492,.047,334.45,25.691,4.52
8,Line A,1200,2.045,1.963,.641,.048,291.43,21.806,4.697
9,M82,1820,1.818,1.286,.554,.024,283.22,21.408,3.682
10,Line A,1290,2.843,2.298,.684,.054,365.03,27.66,5.879
11,M82,1310,2.764,1.957,.38,.051,348.48,26.704,5.152
12,Line B,1800,2.118,1.246,.444,.031,257.36,19.614,3.839
13,M82,1470,1.824,1.128,.376,.049,234.39,18.031,3.377
14,Line A,1390,2.208,2.306,.633,.053,325.58,24.748,5.2
15,Line B,1810,2.565,1.694,.434,.052,333.46,25.902,4.745
16,M82,1670,1.714,1.231,.571,.04,253.65,19.898,3.556
17,Line A,1460,2.085,2.036,.504,.052,287.37,22.366,4.677
18,Line B,1860,2.115,1.288,.431,.042,292.46,22.217,3.876
19,Line A,1560,2.07,2.208,.732,.07,330.41,24.063,5.08
20,M82,1460,1.975,1.408,.427,.046,275.98,21.312,3.856
21,Line B,1790,2.726,1.548,.432,.061,314.98,24.775,4.767
22,M82,1940,2.508,1.88,.53,.05,342.97,26.121,4.968
23,Line A,1600,1.998,1.979,.526,.039,275.98,21.666,4.542
24,Line B,1850,2.557,1.508,.254,.03,305.01,23.123,4.349
25,M82,1830,2.168,1.555,.495,.064,306.06,23.088,4.282
26,Line B,1810,2.111,1.189,.222,.021,260.41,18.926,3.543
27,Line A,1320,2.382,2.421,.914,.052,356.07,27.572,5.769
28,Line A,1310,2.057,1.999,.525,.043,281.3,21.863,4.624
29,M82,1850,1.7,1.222,.543,.038,262.66,20.483,3.503
30,Line B,1820,2.489,1.44,.462,.044,329.96,25.034,4.435
31,M82,1620,2.297,1.596,.363,.059,309.93,23.26,4.315
32,Line B,1940,2.469,1.448,.413,.052,323.42,24.338,4.382
33,Line A,1550,2.674,2.346,.621,.074,363.03,27.048,5.715
34,M82,1460,1.683,1.073,.362,.048,245.18,18.488,3.166
35,Line A,1630,2.032,2.301,.843,.069,337.33,25.432,5.245
36,Line B,1800,2.765,1.483,.496,.051,318.87,24.489,4.795
37,Line A,1350,2.035,2.273,.703,.069,331.53,24.932,5.08
38,M82,1380,2.025,1.455,.674,.047,307.74,23.605,4.201
39,Line B,1870,1.826,1.035,.265,.037,229.22,17.761,3.163
40,Line A,1420,1.789,1.913,.471,.049,271.88,20.669,4.222
41,Line B,1690,2.039,1.165,.337,.043,280.24,20.842,3.584
42,M82,1760,1.692,1.296,.453,.029,262.02,19.54,3.47
43,M82,1550,2.598,1.609,.683,.057,346.65,25.904,4.947
44,Line A,1470,1.916,1.84,.615,.035,280.51,21.488,4.406
45,Line B,1880,2.257,1.399,.391,.026,292.79,22.096,4.073
46,Line B,1830,2.526,1.747,.447,.048,341.46,25.59,4.768
47,Line A,1350,1.845,1.517,.344,.044,251.51,19.656,3.75
48,M82,1670,2.765,1.581,.589,.037,368.9,27.385,4.972
49,M82,1650,1.832,1.144,.304,.029,237.78,18.014,3.309
50,Line A,1240,1.881,2.057,.733,.033,299.55,22.614,4.704
51,Line B,1830,2.563,1.369,.177,.048,289.05,22.071,4.157
52,M82,1380,2.275,1.521,.626,.037,289.16,23.225,4.459
53,Line B,1840,2.763,1.812,.51,.059,359.15,27.096,5.144
54,Line A,1420,2.387,2.023,.549,.035,306.06,23.971,4.994
55,M82,1650,2.141,1.538,.591,.039,312.77,24.05,4.309
56,Line A,1700,2.131,2.532,.667,.091,313.38,23.972,5.421
57,Line B,1730,2.309,1.321,.469,.013,300.09,23.374,4.112
58,Line B,1860,2.566,1.617,.532,.043,342.34,26.345,4.758
59,Line A,1800,2.213,2.137,.636,.057,314.7,24.338,5.043
60,M82,1570,1.879,1.338,.56,.037,269.85,20.947,3.814
